game_format,n_players,players_stacks,__players_cards,__board_cards,me_position,me_name,me_categ,me_cards,me_hand,players_action,me_action,me_playing,_players_game_style,_players_bet_strategy
cash_game,2,"{0: 75, 1: 200}","{0: ('2tr', 'kpi'), 1: ('9co', '9pi')}","('tpi', '5ca', '2ca', 'atr', '2pi')",0,SB,-,"('2tr', 'kpi')",k2o,{},,,{1: 'limper'},{1: 'passive'}
cash_game,2,"{0: 100, 1: 50}","{0: ('6co', '7co'), 1: ('9co', '8ca')}","('ktr', '6pi', '5ca', 'tco', '4tr')",1,BB,-,"('9co', '8ca')",98o,{0: 'raise - PO-10'},,,{0: 'loose'},{0: 'normal'}
cash_game,4,"{0: 150, 1: 75, 2: 75, 3: 50}","{0: ('kpi', 'tpi'), 1: ('3pi', 'tco'), 2: ('jca', '9pi'), 3: ('5co', 'ktr')}","('api', '4co', 'qtr', '5pi', '4ca')",3,button,late,"('5co', 'ktr')",k5o,{2: 'raise - all_in'},,,"{0: 'limper', 1: 'thight', 2: 'thight'}","{0: 'normal', 1: 'passive', 2: 'normal'}"
cash_game,2,"{0: 50, 1: 200}","{0: ('kca', 'aco'), 1: ('5tr', 'jco')}","('2pi', '4pi', 'qco', 'api', '9pi')",0,SB,-,"('kca', 'aco')",ako,{},,,{1: 'normal'},{1: 'normal'}
cash_game,4,"{0: 150, 1: 100, 2: 100, 3: 100}","{0: ('5co', 'jtr'), 1: ('3pi', 'kca'), 2: ('jpi', '5pi'), 3: ('api', '8tr')}","('4co', '6co', 'jca', 'qco', '6pi')",2,mp,middle,"('jpi', '5pi')",j5s,{},,,"{0: 'limper', 1: 'normal', 3: 'limper'}","{0: 'passive', 1: 'normal', 3: 'passive'}"
cash_game,4,"{0: 200, 1: 400, 2: 75, 3: 50}","{0: ('qco', '7ca'), 1: ('jpi', 'atr'), 2: ('8ca', 'aco'), 3: ('4pi', 'jtr')}","('3tr', '5co', '4tr', '7pi', 'jco')",0,SB,blind,"('qco', '7ca')",q7o,"{2: 'call - ', 3: 'raise - PO-3'}",,,"{1: 'normal', 2: 'thight', 3: 'loose'}","{1: 'agressive', 2: 'agressive', 3: 'agressive'}"
cash_game,4,"{0: 75, 1: 200, 2: 200, 3: 200}","{0: ('9co', '5ca'), 1: ('7pi', 'ktr'), 2: ('api', '6pi'), 3: ('7co', '6co')}","('5co', '8pi', '9ca', 'aco', '2ca')",1,BB,early,"('7pi', 'ktr')",k7o,"{0: 'fold - ', 2: 'raise - PO-1', 3: 'call - '}",,,"{0: 'loose', 2: 'normal', 3: 'normal'}","{0: 'normal', 2: 'normal', 3: 'normal'}"
cash_game,4,"{0: 150, 1: 50, 2: 200, 3: 50}","{0: ('jpi', 'qco'), 1: ('5ca', 'ttr'), 2: ('5pi', 'api'), 3: ('5co', '8tr')}","('8pi', 'tco', 'kco', 'aco', '6co')",2,mp,middle,"('5pi', 'api')",a5s,{},,,"{0: 'limper', 1: 'loose', 3: 'loose'}","{0: 'normal', 1: 'agressive', 3: 'passive'}"
cash_game,2,"{0: 150, 1: 100}","{0: ('4co', 'ttr'), 1: ('9ca', '3tr')}","('jtr', 'api', 'jco', '5pi', 'qco')",1,BB,-,"('9ca', '3tr')",93o,{0: 'call - '},,,{0: 'loose'},{0: 'passive'}
cash_game,2,"{0: 150, 1: 100}","{0: ('qco', '3tr'), 1: ('tpi', '7pi')}","('jco', 'kca', 'aca', 'api', '7ca')",1,BB,-,"('tpi', '7pi')",t7s,{0: 'call - '},,,{0: 'limper'},{0: 'normal'}
